,Date,Nitrogen Dioxide_ugm-3_LDN
0,2017-01-01,31.797560975609755
1,2017-01-02,47.62558139534883
2,2017-01-03,49.18780487804877
3,2017-01-04,43.47907000000001
4,2017-01-05,31.90749999999999
5,2017-01-06,44.585365853658544
6,2017-01-07,29.2925
7,2017-01-08,31.937837837837844
8,2017-01-09,49.06829268292683
9,2017-01-10,20.76744186046512
10,2017-01-11,66.97380952380954
11,2017-01-12,42.59318181818182
12,2017-01-13,41.84871794871795
13,2017-01-14,56.22307692307692
14,2017-01-15,52.084615384615375
15,2017-01-16,64.67692307692307
16,2017-01-17,76.76923076923079
17,2017-01-18,100.32564153846155
18,2017-01-19,83.92368447368422
19,2017-01-20,79.34102538461536
20,2017-01-21,79.21538435897436
21,2017-01-22,87.07435871794871
22,2017-01-23,97.9589746153846
23,2017-01-24,103.07250025
24,2017-01-25,78.14749975
25,2017-01-26,52.0875
26,2017-01-27,66.31499975
27,2017-01-28,47.080000000000005
28,2017-01-29,39.84
29,2017-01-30,50.6025641025641
30,2017-01-31,52.712195121951225
31,2017-02-01,45.817073170731696
32,2017-02-02,35.3952380952381
33,2017-02-03,40.96097560975608
34,2017-02-04,47.86511627906976
35,2017-02-05,44.69024390243902
36,2017-02-06,64.74878024390244
37,2017-02-07,26.756410256410255
38,2017-02-08,28.523076923076932
39,2017-02-09,44.62439024390244
40,2017-02-10,30.349999999999994
41,2017-02-11,68.8418604651163
42,2017-02-12,64.33863636363637
43,2017-02-13,50.8829268292683
44,2017-02-14,65.28536560975613
45,2017-02-15,57.263414634146336
46,2017-02-16,58.15365853658536
47,2017-02-17,69.4390243902439
48,2017-02-18,49.50750000000001
49,2017-02-19,44.639024390243904
50,2017-02-20,40.63
51,2017-02-21,39.90749999999999
52,2017-02-22,32.17380952380953
53,2017-02-23,25.924390243902447
54,2017-02-24,61.29512195121952
55,2017-02-25,33.640476190476186
56,2017-02-26,23.747619047619047
57,2017-02-27,42.33170731707316
58,2017-02-28,46.210000000000015
59,2017-03-01,61.80975609756097
60,2017-03-02,38.430232558139544
61,2017-03-03,51.16410282051284
62,2017-03-04,49.52093023255813
63,2017-03-05,41.76097560975611
64,2017-03-06,32.804761904761904
65,2017-03-07,33.167500000000004
66,2017-03-08,19.982051282051273
67,2017-03-09,29.79756097560974
68,2017-03-10,47.74499999999999
69,2017-03-11,69.36744186046514
70,2017-03-12,50.81136363636363
71,2017-03-13,55.9952380952381
72,2017-03-14,49.09047619047618
73,2017-03-15,63.11666642857141
74,2017-03-16,51.31219512195123
75,2017-03-17,40.278048780487815
76,2017-03-18,26.184999999999995
77,2017-03-19,18.285
78,2017-03-20,35.1425
79,2017-03-21,39.83589743589744
80,2017-03-22,50.235
81,2017-03-23,42.8439024390244
82,2017-03-24,41.885365853658534
83,2017-03-25,37.18780487804878
84,2017-03-26,32.89756097560975
85,2017-03-27,52.87804902439025
86,2017-03-28,53.59761928571429
87,2017-03-29,41.81666642857144
88,2017-03-30,58.219047380952404
89,2017-03-31,51.63255813953487
90,2017-04-01,57.10499999999998
91,2017-04-02,76.6348839534884
92,2017-04-03,40.03750000000001
93,2017-04-04,46.09285714285714
94,2017-04-05,38.664285714285704
95,2017-04-06,21.407142857142865
96,2017-04-07,40.197435897435895
97,2017-04-08,27.57073170731708
98,2017-04-09,32.8
99,2017-04-10,39.063414634146355
100,2017-04-11,45.88837209302326
101,2017-04-12,66.74883720930232
102,2017-04-13,46.980487804878045
103,2017-04-14,34.1170731707317
104,2017-04-15,29.51219512195122
105,2017-04-16,27.82195121951219
106,2017-04-17,31.9219512195122
107,2017-04-18,39.46585365853658
108,2017-04-19,51.314999750000005
109,2017-04-20,51.470000000000006
110,2017-04-21,52.22439024390245
111,2017-04-22,37.404878048780496
112,2017-04-23,31.83658536585366
113,2017-04-24,43.757500000000014
114,2017-04-25,38.17
115,2017-04-26,37.64634146341462
116,2017-04-27,54.821428571428584
117,2017-04-28,54.040476190476184
118,2017-04-29,45.804761904761904
119,2017-04-30,33.2780487804878
120,2017-05-01,92.93414658536585
121,2017-05-02,51.86744186046513
122,2017-05-03,27.758536585365853
123,2017-05-04,47.41162790697674
124,2017-05-05,36.58333333333333
125,2017-05-06,25.919047619047618
126,2017-05-07,44.24499975
127,2017-05-08,34.82380952380952
128,2017-05-09,28.89268292682927
129,2017-05-10,33.172093023255826
130,2017-05-11,41.927906976744175
131,2017-05-12,61.230232558139534
132,2017-05-13,34.05952380952382
133,2017-05-14,30.485714285714295
134,2017-05-15,38.61190476190476
135,2017-05-16,32.11904761904763
136,2017-05-17,50.49268292682926
137,2017-05-18,50.83414634146343
138,2017-05-19,48.27619047619048
139,2017-05-20,32.73095238095239
140,2017-05-21,32.46666666666666
141,2017-05-22,50.58749975000001
142,2017-05-23,43.82000000000001
143,2017-05-24,54.461538461538474
144,2017-05-25,56.55384615384615
145,2017-05-26,55.49512195121952
146,2017-05-27,42.35121951219512
147,2017-05-28,40.80731707317073
148,2017-05-29,32.228571428571435
149,2017-05-30,32.25238095238095
150,2017-05-31,46.087804878048786
151,2017-06-01,81.38780463414635
152,2017-06-02,63.79767418604652
153,2017-06-03,54.54285714285714
154,2017-06-04,61.16744186046511
155,2017-06-05,33.59285714285714
156,2017-06-06,22.924390243902437
157,2017-06-07,56.302439024390246
158,2017-06-08,25.08571428571428
159,2017-06-09,39.21749999999999
160,2017-06-10,50.597674418604655
161,2017-06-11,59.16279069767443
162,2017-06-12,44.652272727272724
163,2017-06-13,47.94146341463416
164,2017-06-14,56.21951195121951
