,CountryName,Date,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,Year,Month,day,Quarter,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,"Deaths_by_100,000","Cases_by_100,000"
10755,Denmark,2020-03-24,1460.0,24.0,72.22,72.22,2020.0,March,24.0,3.0,-55.0,19.0,0.4124420003437017,25.090221687575184
10756,Denmark,2020-03-25,1591.0,32.0,72.22,72.22,2020.0,March,25.0,4.0,-55.0,19.0,0.5499226671249355,27.34146760611789
10757,Denmark,2020-03-26,1724.0,34.0,72.22,72.22,2020.0,March,26.0,4.0,-55.0,19.0,0.5842928338202441,29.627083691355903
10758,Denmark,2020-03-27,1877.0,41.0,72.22,72.22,2020.0,March,27.0,4.0,-55.0,19.0,0.7045884172538237,32.256401443547006
10759,Denmark,2020-03-28,2046.0,52.0,72.22,72.22,2020.0,March,28.0,4.0,-28.0,10.0,0.8936243340780203,35.16068052930057
10760,Denmark,2020-03-29,2201.0,65.0,72.22,72.22,2020.0,March,29.0,4.0,-28.0,9.0,1.1170304175975254,37.82436844818697
10761,Denmark,2020-03-30,2395.0,72.0,72.22,72.22,2020.0,March,30.0,4.0,-54.0,18.0,1.2373260010311051,41.158274617631896
10762,Denmark,2020-03-31,2577.0,77.0,72.22,72.22,2020.0,March,31.0,4.0,-53.0,17.0,1.3232514177693762,44.28595978690497
10763,Denmark,2020-04-01,2860.0,90.0,72.22,72.22,2020.0,April,1.0,1.0,-54.0,19.0,1.5466575012888812,49.14933837429112
10764,Denmark,2020-04-02,3107.0,104.0,72.22,72.22,2020.0,April,2.0,1.0,-55.0,20.0,1.7872486681560407,53.39405396116172
10765,Denmark,2020-04-03,3386.0,123.0,72.22,72.22,2020.0,April,3.0,1.0,-55.0,19.0,2.113765251761471,58.188692215157246
10766,Denmark,2020-04-04,3757.0,139.0,72.22,72.22,2020.0,April,4.0,1.0,-25.0,10.0,2.388726585323939,64.56435813713696
10767,Denmark,2020-04-05,4077.0,161.0,72.22,72.22,2020.0,April,5.0,1.0,-23.0,7.0,2.766798418972332,70.06358480838632
10768,Denmark,2020-04-06,4369.0,179.0,72.22,72.22,2020.0,April,6.0,1.0,-59.0,16.0,3.0761299192301084,75.08162914590136
10769,Denmark,2020-04-07,4681.0,187.0,72.22,72.22,2020.0,April,7.0,1.0,-59.0,16.0,3.213610586011342,80.44337515036948
10770,Denmark,2020-04-08,5071.0,203.0,72.22,72.22,2020.0,April,8.0,1.0,-60.0,15.0,3.48857191957381,87.14555765595463
10771,Denmark,2020-04-09,5402.0,218.0,72.22,72.22,2020.0,April,9.0,2.0,-82.0,22.0,3.746348169788624,92.83382024402819
10772,Denmark,2020-04-10,5635.0,237.0,72.22,72.22,2020.0,April,10.0,2.0,-82.0,24.0,4.072864753394054,96.83794466403162
10773,Denmark,2020-04-11,5819.0,247.0,72.22,72.22,2020.0,April,11.0,2.0,-23.0,8.0,4.244715586870597,100.0
10774,Denmark,2020-04-12,5996.0,260.0,72.22,72.22,2020.0,April,12.0,2.0,-23.0,6.0,4.468121670390102,103.0417597525348
10775,Denmark,2020-04-13,6174.0,273.0,72.22,72.22,2020.0,April,13.0,2.0,-84.0,24.0,4.6915277539096065,106.10070458841726
10776,Denmark,2020-04-14,6318.0,285.0,72.22,72.22,2020.0,April,14.0,2.0,-49.0,16.0,4.897748754081458,108.57535659047947
10777,Denmark,2020-04-15,6511.0,299.0,68.52,68.52,2020.0,April,15.0,2.0,-48.0,17.0,5.138339920948617,111.89207767657673
10778,Denmark,2020-04-16,6681.0,309.0,68.52,68.52,2020.0,April,16.0,2.0,-47.0,16.0,5.310190754425159,114.81354184567796
10779,Denmark,2020-04-17,6879.0,321.0,68.52,68.52,2020.0,April,17.0,3.0,-45.0,15.0,5.51641175459701,118.2161883485135
10780,Denmark,2020-04-18,7073.0,336.0,68.52,68.52,2020.0,April,18.0,3.0,-14.0,7.0,5.7741880048118235,121.55009451795841
10781,Denmark,2020-04-19,7242.0,346.0,68.52,68.52,2020.0,April,19.0,3.0,-14.0,5.0,5.9460388382883655,124.45437360371199
10782,Denmark,2020-04-20,7384.0,355.0,68.52,68.52,2020.0,April,20.0,3.0,-41.0,13.0,6.100704588417254,126.89465543907889
10783,Denmark,2020-04-21,7515.0,364.0,68.52,68.52,2020.0,April,21.0,3.0,-39.0,13.0,6.255370338546142,129.1459013576216
10784,Denmark,2020-04-22,7695.0,370.0,68.52,68.52,2020.0,April,22.0,3.0,-39.0,12.0,6.358480838632068,132.23921636019935
10785,Denmark,2020-04-23,7912.0,384.0,68.52,68.52,2020.0,April,23.0,3.0,-39.0,12.0,6.599072005499227,135.9683794466403
10786,Denmark,2020-04-24,8073.0,394.0,68.52,68.52,2020.0,April,24.0,4.0,-40.0,13.0,6.770922838975769,138.73517786561266
10787,Denmark,2020-04-25,8210.0,403.0,68.52,68.52,2020.0,April,25.0,4.0,-13.0,6.0,6.925588589104658,141.0895342842413
10788,Denmark,2020-04-26,8445.0,418.0,68.52,68.52,2020.0,April,26.0,4.0,-16.0,5.0,7.183364839319471,145.12802887094003
10789,Denmark,2020-04-27,8575.0,422.0,68.52,68.52,2020.0,April,27.0,4.0,-39.0,13.0,7.252105172710088,147.3620897061351
10790,Denmark,2020-04-28,8698.0,427.0,68.52,68.52,2020.0,April,28.0,4.0,-37.0,11.0,7.338030589448359,149.47585495789656
10791,Denmark,2020-04-29,8851.0,434.0,68.52,68.52,2020.0,April,29.0,4.0,-38.0,14.0,7.4583261728819386,152.10517271008766
10792,Denmark,2020-04-30,9008.0,443.0,68.52,68.52,2020.0,April,30.0,4.0,-39.0,14.0,7.612991923010827,154.80323079566938
10793,Denmark,2020-05-01,9158.0,452.0,68.52,68.52,2020.0,May,1.0,1.0,-49.0,16.0,7.767657673139715,157.3809932978175
10794,Denmark,2020-05-02,9311.0,462.0,68.52,68.52,2020.0,May,2.0,1.0,-14.0,7.0,7.939508506616257,160.0103110500086
10795,Denmark,2020-05-03,9407.0,473.0,68.52,68.52,2020.0,May,3.0,1.0,-9.0,4.0,8.128544423440454,161.6600790513834
10796,Denmark,2020-05-04,9523.0,481.0,68.52,68.52,2020.0,May,4.0,1.0,-35.0,11.0,8.266025090221689,163.6535487197113
10797,Denmark,2020-05-05,9670.0,490.0,68.52,68.52,2020.0,May,5.0,1.0,-33.0,11.0,8.420690840350575,166.17975597181646
10798,Denmark,2020-05-06,9821.0,497.0,68.52,68.52,2020.0,May,6.0,1.0,-33.0,11.0,8.540986423784156,168.77470355731225
10799,Denmark,2020-05-07,9983.0,500.0,68.52,68.52,2020.0,May,7.0,1.0,-33.0,7.0,8.59254167382712,171.55868705963223
