,Date,Nitrogen Dioxide 2020,Nitrogen Dioxide 2019,CountryName,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay
67,Mar 20,18.225531914893600,26.11,United Kingdom,5426.0,162.0,37.04,37.04
68,Mar 21,16.877083333333300,44.2142857142857,United Kingdom,6481.0,194.0,43.52,43.52
69,Mar 22,17.916666666666700,35.9591836734694,United Kingdom,7736.0,252.0,58.33,58.33
70,Mar 23,39.400000000000000,68.6791666666667,United Kingdom,8934.0,288.0,74.54,74.54
71,Mar 24,37.278723404255300,26.1408163265306,United Kingdom,10312.0,364.0,75.93,75.93
72,Mar 25,45.52608695652180,29.0395833333333,United Kingdom,12650.0,512.0,75.93,75.93
73,Mar 26,30.853333333333300,23.7520833333333,United Kingdom,15025.0,703.0,75.93,75.93
74,Mar 27,21.269565217391300,16.8510204081633,United Kingdom,17717.0,884.0,75.93,75.93
75,Mar 28,10.928260869565200,26.3163265306122,United Kingdom,20804.0,1172.0,75.93,75.93
76,Mar 29,7.768085106382980,52.4755102040816,United Kingdom,24001.0,1464.0,75.93,75.93
77,Mar 30,17.58723404255320,50.8744680851064,United Kingdom,26823.0,1676.0,75.93,75.93
78,Mar 31,21.316666666666700,42.3816326530612,United Kingdom,29681.0,2050.0,75.93,75.93
79,Apr 1,41.28125000000000,43.9195652173913,United Kingdom,33954.0,2453.0,75.93,75.93
80,Apr 2,33.34583333333330,40.7604166666667,United Kingdom,38468.0,3125.0,75.93,75.93
81,Apr 3,50.94042553191490,42.5875,United Kingdom,43381.0,3782.0,75.93,75.93
82,Apr 4,25.89583333333330,40.9208333333333,United Kingdom,48249.0,4518.0,75.93,75.93
83,Apr 5,19.470000000000000,39.7130434782609,United Kingdom,53160.0,5274.0,75.93,75.93
84,Apr 6,17.41276595744680,64.663829787234,United Kingdom,57180.0,5873.0,75.93,75.93
85,Apr 7,9.436734693877550,62.1531914893617,United Kingdom,60772.0,6440.0,75.93,75.93
86,Apr 8,24.180851063829800,65.2282608695652,United Kingdom,66054.0,7545.0,75.93,75.93
87,Apr 13,7.795918367346940,67.7311113333333,United Kingdom,89385.0,12313.0,75.93,75.93
88,Apr 14,19.587755102040800,61.4106382978723,United Kingdom,92874.0,13037.0,75.93,75.93
89,Apr 15,34.91836734693880,25.1895833333333,United Kingdom,97052.0,14113.0,75.93,75.93
90,Apr 16,41.60408163265310,58.6531914893617,United Kingdom,101378.0,14993.0,75.93,75.93
91,Apr 17,18.183673469387800,43.754347826087,United Kingdom,106443.0,16029.0,75.93,75.93
92,Apr 18,20.253061224489800,30.9795918367347,United Kingdom,111735.0,16942.0,75.93,75.93
93,Apr 19,14.967346938775500,38.81875,United Kingdom,116691.0,18047.0,75.93,75.93
94,Apr 20,16.84285714285710,23.65,United Kingdom,121412.0,18479.0,75.93,75.93
95,Apr 21,18.312244897959200,38.8311111111111,United Kingdom,125265.0,19049.0,75.93,75.93
96,Apr 22,22.8,42.4408163265306,United Kingdom,130119.0,20273.0,75.93,75.93
97,Apr 23,30.224000000000000,28.7083333333333,United Kingdom,134879.0,21120.0,75.93,75.93
98,Apr 24,29.882000000000000,21.002,United Kingdom,140366.0,21802.0,75.93,75.93
99,Apr 25,17.538,38.452,United Kingdom,145524.0,22812.0,75.93,75.93
100,Apr 26,21.008000000000000,47.9479166666667,United Kingdom,150494.0,23627.0,75.93,75.93
101,Apr 27,26.56,76.4270833333333,United Kingdom,154242.0,23991.0,75.93,75.93
102,Apr 28,21.03877551020410,37.88125,United Kingdom,157715.0,24311.0,75.93,75.93
103,Apr 29,18.084313725490200,33.9125,United Kingdom,162421.0,25280.0,75.93,75.93
104,Apr 30,16.286000000000000,46.0191489361702,United Kingdom,167150.0,26049.0,75.93,75.93
105,May 1,29.295833333333300,66.858695652174,United Kingdom,172592.0,26683.0,75.93,75.93
106,May 2,63.354166666666700,55.5590909090909,United Kingdom,177558.0,27381.0,75.93,75.93
107,May 3,29.629787234042600,53.9860465116279,United Kingdom,182295.0,27965.0,75.93,75.93
108,May 4,16.535416666666700,51.2,United Kingdom,185524.0,28218.0,75.93,75.93
109,May 5,15.062000000000000,45.4558139534884,United Kingdom,188506.0,28490.0,75.93,75.93
110,May 6,17.20212765957450,46.9119047619048,United Kingdom,191895.0,29216.0,75.93,75.93
111,May 7,5.808163265306120,56.0261904761905,United Kingdom,195577.0,29863.0,75.93,75.93
112,May 8,16.35,63.906976744186,United Kingdom,199404.0,30321.0,75.93,75.93
113,May 13,15.424000000000000,43.3585365853659,United Kingdom,214306.0,32193.0,69.44,69.44
114,May 14,17.814000000000000,29.225,United Kingdom,217708.0,32640.0,69.44,69.44
115,May 15,28.792000000000000,31.5652173913044,United Kingdom,221015.0,32992.0,69.44,69.44
116,May 16,24.146,18.5369565217391,United Kingdom,223643.0,33342.0,69.44,69.44
117,May 17,18.834,24.0869565217391,United Kingdom,226169.0,33753.0,69.44,69.44
118,May 18,18.134000000000000,45.0311111111111,United Kingdom,228248.0,33820.0,69.44,69.44
119,May 19,22.123404255319100,51.8382978723404,United Kingdom,230086.0,33966.0,69.44,69.44
120,May 20,27.556250000000000,47.7872340425532,United Kingdom,232675.0,34466.0,69.44,69.44
121,May 21,29.500000000000000,45.8723404255319,United Kingdom,235727.0,34794.0,69.44,69.44
122,May 22,13.434693877551000,36.2408163265306,United Kingdom,238445.0,35067.0,69.44,69.44
123,May 23,7.985416666666670,37.6260869565217,United Kingdom,241019.0,35358.0,69.44,69.44
124,May 24,14.535416666666700,30.68125,United Kingdom,243081.0,35578.0,69.44,69.44
125,May 25,21.022448979591800,30.1916666666667,United Kingdom,244608.0,35957.0,69.44,69.44
126,May 26,27.920408163265300,41.8166666666667,United Kingdom,245972.0,36061.0,69.44,69.44
127,May 27,30.414285714285700,25.0916666666667,United Kingdom,247596.0,36192.0,69.44,69.44
128,May 28,17.581632653061200,33.0081632653061,United Kingdom,249268.0,36614.0,69.44,69.44
129,May 29,22.414285714285700,38.604,United Kingdom,251103.0,36957.0,69.44,69.44
130,May 30,18.169387755102000,38,United Kingdom,252863.0,37231.0,69.44,69.44
131,May 31,13.881632653061200,50.0574468085106,United Kingdom,254390.0,37385.0,69.44,69.44
132,Jun 1,30.34375,42.9234042553192,United Kingdom,255515.0,37445.0,67.59,67.59
133,Jun 2,67.22500000000000,37.0022222222222,United Kingdom,256594.0,37531.0,67.59,67.59
134,Jun 3,50.337500000000000,43.8021739130435,United Kingdom,258035.0,37780.0,67.59,67.59
135,Jun 4,24.21666666666670,37.0782608695652,United Kingdom,259519.0,38034.0,67.59,67.59
136,Jun 5,23.872000000000000,37.4125,United Kingdom,260875.0,38164.0,67.59,67.59
137,Jun 6,15.856250000000000,44.6265306122449,United Kingdom,262118.0,38422.0,67.59,67.59
138,Jun 7,15.916666666666700,40.7877551020408,United Kingdom,263238.0,38565.0,67.59,67.59
139,Jun 8,27.226666666666700,44.9222222222222,United Kingdom,264039.0,38619.0,73.15,73.15
140,Jun 13,23.073469387755100,40.0613636363637,United Kingdom,269233.0,39232.0,73.15,73.15
141,Jun 14,17.844897959183700,44.6955555555556,United Kingdom,270285.0,39339.0,73.15,73.15
142,Jun 15,27.291836734693900,44.4311111111111,United Kingdom,271175.0,39366.0,71.3,71.3
143,Jun 16,24.33061224489800,39.3444444444444,United Kingdom,271997.0,39395.0,71.3,71.3
144,Jun 17,35.24791666666670,27.9711111111111,United Kingdom,273040.0,39515.0,71.3,71.3
145,Jun 18,23.551020408163300,18.3521739130435,United Kingdom,274142.0,39625.0,71.3,71.3
146,Jun 19,16.275510204081600,20.1760869565217,United Kingdom,275155.0,39692.0,71.3,71.3
147,Jun 20,14.672000000000000,30.4489361702128,United Kingdom,276182.0,39776.0,71.3,71.3
148,Jun 21,10.778000000000000,32.6444444444445,United Kingdom,277168.0,39847.0,71.3,71.3
149,Jun 22,17.068750000000000,22.1755555555556,United Kingdom,277855.0,39878.0,71.3,71.3
150,Jun 23,26.17391304347830,26.5977272727273,United Kingdom,278494.0,39892.0,71.3,71.3
151,Jun 24,38.346666666666700,49.3,United Kingdom,279390.0,39986.0,71.3,71.3
152,Jun 25,38.75106382978720,48.8978723404255,United Kingdom,280276.0,40073.0,71.3,71.3
153,Jun 26,29.83125,28.1591836734694,United Kingdom,281054.0,40172.0,71.3,71.3
154,Jun 27,9.946938775510210,31.2591836734694,United Kingdom,281775.0,40249.0,71.3,71.3
155,Jun 28,7.817021276595750,30.4145833333333,United Kingdom,282446.0,40289.0,71.3,71.3
156,Jun 29,11.184782608695700,32.25625,United Kingdom,283095.0,40320.0,71.3,71.3
157,Jun 30,16.339583333333300,26.7375,United Kingdom,283541.0,40341.0,71.3,71.3
158,Jul 1,31.842000000000000,21.1145833333333,United Kingdom,284271.0,40394.0,71.3,71.3
159,Jul 2,46.12083333333330,36.35,United Kingdom,284888.0,40491.0,71.3,71.3
160,Jul 3,35.66250000000000,21.9122448979592,United Kingdom,285539.0,40532.0,71.3,71.3
161,Jul 4,38.43958333333330,47.6918367346939,United Kingdom,286141.0,40581.0,69.91,69.91
162,Jul 5,31.635294117647100,29.6276595744681,United Kingdom,286720.0,40613.0,69.91,69.91
