,Date,City,Transport mode,Count,Nitrogen Dioxide_ugm-3_LDN,CountryName,ConfirmedCases,ConfirmedDeaths,StringencyIndex
0,2020-03-13,London,Cars,284520,31.19347826086957,United Kingdom,1282.0,9.0,12.96
1,2020-03-13,London,Motorbikes,493,31.19347826086957,United Kingdom,1282.0,9.0,12.96
2,2020-03-13,London,Buses,18856,31.19347826086957,United Kingdom,1282.0,9.0,12.96
3,2020-03-13,London,Trucks,18778,31.19347826086957,United Kingdom,1282.0,9.0,12.96
4,2020-03-13,London,Vans,39596,31.19347826086957,United Kingdom,1282.0,9.0,12.96
5,2020-03-13,London,Pedestrians & cyclists,51825,31.19347826086957,United Kingdom,1282.0,9.0,12.96
6,2020-03-14,London,Cars,311553,22.153191489361703,United Kingdom,1766.0,10.0,12.96
7,2020-03-14,London,Motorbikes,460,22.153191489361703,United Kingdom,1766.0,10.0,12.96
8,2020-03-14,London,Buses,18384,22.153191489361703,United Kingdom,1766.0,10.0,12.96
9,2020-03-14,London,Trucks,18089,22.153191489361703,United Kingdom,1766.0,10.0,12.96
10,2020-03-14,London,Vans,40331,22.153191489361703,United Kingdom,1766.0,10.0,12.96
11,2020-03-14,London,Pedestrians & cyclists,45660,22.153191489361703,United Kingdom,1766.0,10.0,12.96
12,2020-03-15,London,Cars,314612,21.927659574468088,United Kingdom,2244.0,29.0,12.96
13,2020-03-15,London,Motorbikes,489,21.927659574468088,United Kingdom,2244.0,29.0,12.96
14,2020-03-15,London,Buses,17932,21.927659574468088,United Kingdom,2244.0,29.0,12.96
15,2020-03-15,London,Trucks,17394,21.927659574468088,United Kingdom,2244.0,29.0,12.96
16,2020-03-15,London,Vans,40686,21.927659574468088,United Kingdom,2244.0,29.0,12.96
17,2020-03-15,London,Pedestrians & cyclists,42493,21.927659574468088,United Kingdom,2244.0,29.0,12.96
18,2020-03-16,London,Cars,268738,39.942222222222206,United Kingdom,2605.0,43.0,19.44
19,2020-03-16,London,Motorbikes,522,39.942222222222206,United Kingdom,2605.0,43.0,19.44
20,2020-03-16,London,Buses,18151,39.942222222222206,United Kingdom,2605.0,43.0,19.44
21,2020-03-16,London,Trucks,17862,39.942222222222206,United Kingdom,2605.0,43.0,19.44
22,2020-03-16,London,Vans,38107,39.942222222222206,United Kingdom,2605.0,43.0,19.44
23,2020-03-16,London,Pedestrians & cyclists,43507,39.942222222222206,United Kingdom,2605.0,43.0,19.44
24,2020-03-17,London,Cars,279981,26.35217391304348,United Kingdom,3047.0,65.0,22.22
25,2020-03-17,London,Motorbikes,600,26.35217391304348,United Kingdom,3047.0,65.0,22.22
26,2020-03-17,London,Buses,19676,26.35217391304348,United Kingdom,3047.0,65.0,22.22
27,2020-03-17,London,Trucks,19043,26.35217391304348,United Kingdom,3047.0,65.0,22.22
28,2020-03-17,London,Vans,41940,26.35217391304348,United Kingdom,3047.0,65.0,22.22
29,2020-03-17,London,Pedestrians & cyclists,51208,26.35217391304348,United Kingdom,3047.0,65.0,22.22
30,2020-03-18,London,Cars,268476,23.751063829787235,United Kingdom,3658.0,82.0,31.48
31,2020-03-18,London,Motorbikes,655,23.751063829787235,United Kingdom,3658.0,82.0,31.48
32,2020-03-18,London,Buses,19474,23.751063829787235,United Kingdom,3658.0,82.0,31.48
33,2020-03-18,London,Trucks,19174,23.751063829787235,United Kingdom,3658.0,82.0,31.48
34,2020-03-18,London,Vans,40056,23.751063829787235,United Kingdom,3658.0,82.0,31.48
35,2020-03-18,London,Pedestrians & cyclists,51012,23.751063829787235,United Kingdom,3658.0,82.0,31.48
36,2020-03-19,London,Cars,251773,28.74468085106383,United Kingdom,4427.0,116.0,31.48
37,2020-03-19,London,Motorbikes,482,28.74468085106383,United Kingdom,4427.0,116.0,31.48
38,2020-03-19,London,Buses,19278,28.74468085106383,United Kingdom,4427.0,116.0,31.48
39,2020-03-19,London,Trucks,19096,28.74468085106383,United Kingdom,4427.0,116.0,31.48
40,2020-03-19,London,Vans,38945,28.74468085106383,United Kingdom,4427.0,116.0,31.48
41,2020-03-19,London,Pedestrians & cyclists,40922,28.74468085106383,United Kingdom,4427.0,116.0,31.48
42,2020-03-20,London,Cars,244976,18.225531914893615,United Kingdom,5426.0,162.0,37.04
43,2020-03-20,London,Motorbikes,531,18.225531914893615,United Kingdom,5426.0,162.0,37.04
44,2020-03-20,London,Buses,18459,18.225531914893615,United Kingdom,5426.0,162.0,37.04
45,2020-03-20,London,Trucks,16838,18.225531914893615,United Kingdom,5426.0,162.0,37.04
46,2020-03-20,London,Vans,36152,18.225531914893615,United Kingdom,5426.0,162.0,37.04
47,2020-03-20,London,Pedestrians & cyclists,41300,18.225531914893615,United Kingdom,5426.0,162.0,37.04
48,2020-03-21,London,Cars,232519,16.877083333333335,United Kingdom,6481.0,194.0,43.52
49,2020-03-21,London,Motorbikes,555,16.877083333333335,United Kingdom,6481.0,194.0,43.52
50,2020-03-21,London,Buses,16867,16.877083333333335,United Kingdom,6481.0,194.0,43.52
51,2020-03-21,London,Trucks,15298,16.877083333333335,United Kingdom,6481.0,194.0,43.52
52,2020-03-21,London,Vans,32911,16.877083333333335,United Kingdom,6481.0,194.0,43.52
53,2020-03-21,London,Pedestrians & cyclists,32856,16.877083333333335,United Kingdom,6481.0,194.0,43.52
54,2020-03-22,London,Cars,206596,17.916666666666668,United Kingdom,7736.0,252.0,58.33
55,2020-03-22,London,Motorbikes,488,17.916666666666668,United Kingdom,7736.0,252.0,58.33
56,2020-03-22,London,Buses,15019,17.916666666666668,United Kingdom,7736.0,252.0,58.33
57,2020-03-22,London,Trucks,14401,17.916666666666668,United Kingdom,7736.0,252.0,58.33
58,2020-03-22,London,Vans,29417,17.916666666666668,United Kingdom,7736.0,252.0,58.33
59,2020-03-22,London,Pedestrians & cyclists,26360,17.916666666666668,United Kingdom,7736.0,252.0,58.33
60,2020-03-23,London,Cars,201759,39.400000000000006,United Kingdom,8934.0,288.0,74.54
61,2020-03-23,London,Motorbikes,524,39.400000000000006,United Kingdom,8934.0,288.0,74.54
62,2020-03-23,London,Buses,15650,39.400000000000006,United Kingdom,8934.0,288.0,74.54
63,2020-03-23,London,Trucks,14612,39.400000000000006,United Kingdom,8934.0,288.0,74.54
64,2020-03-23,London,Vans,30270,39.400000000000006,United Kingdom,8934.0,288.0,74.54
65,2020-03-23,London,Pedestrians & cyclists,28477,39.400000000000006,United Kingdom,8934.0,288.0,74.54
66,2020-03-24,London,Cars,166428,37.278723404255324,United Kingdom,10312.0,364.0,75.93
67,2020-03-24,London,Motorbikes,534,37.278723404255324,United Kingdom,10312.0,364.0,75.93
68,2020-03-24,London,Buses,15415,37.278723404255324,United Kingdom,10312.0,364.0,75.93
69,2020-03-24,London,Trucks,12913,37.278723404255324,United Kingdom,10312.0,364.0,75.93
70,2020-03-24,London,Vans,25198,37.278723404255324,United Kingdom,10312.0,364.0,75.93
71,2020-03-24,London,Pedestrians & cyclists,25469,37.278723404255324,United Kingdom,10312.0,364.0,75.93
