,Year_x,Month_x,Total consumption of electricity used (all providers) TWh,day_x,Date,CountryName,ConfirmedCases,ConfirmedDeaths,StringencyIndex,Year_y,Month_y,day_y
70,2020,January,27.6744872450955,15,2020-01-15,Democratic Republic of Congo,,,0.0,2020.0,January,15
71,2020,January,27.6744872450955,15,2020-01-15,Congo,,,0.0,2020.0,January,15
72,2020,January,27.6744872450955,15,2020-01-15,Colombia,,,0.0,2020.0,January,15
73,2020,January,27.6744872450955,15,2020-01-15,Cape Verde,,,0.0,2020.0,January,15
74,2020,January,27.6744872450955,15,2020-01-15,Costa Rica,,,0.0,2020.0,January,15
75,2020,January,27.6744872450955,15,2020-01-15,Cuba,,,0.0,2020.0,January,15
76,2020,January,27.6744872450955,15,2020-01-15,Cayman Islands,,,0.0,2020.0,January,15
77,2020,January,27.6744872450955,15,2020-01-15,Cyprus,,,0.0,2020.0,January,15
78,2020,January,27.6744872450955,15,2020-01-15,Czech Republic,0.0,0.0,0.0,2020.0,January,15
79,2020,January,27.6744872450955,15,2020-01-15,Germany,0.0,0.0,0.0,2020.0,January,15
80,2020,January,27.6744872450955,15,2020-01-15,Djibouti,,,0.0,2020.0,January,15
81,2020,January,27.6744872450955,15,2020-01-15,Dominica,,,0.0,2020.0,January,15
82,2020,January,27.6744872450955,15,2020-01-15,Denmark,0.0,0.0,0.0,2020.0,January,15
83,2020,January,27.6744872450955,15,2020-01-15,Dominican Republic,0.0,0.0,0.0,2020.0,January,15
84,2020,January,27.6744872450955,15,2020-01-15,Algeria,0.0,0.0,0.0,2020.0,January,15
85,2020,January,27.6744872450955,15,2020-01-15,Ecuador,0.0,0.0,0.0,2020.0,January,15
86,2020,January,27.6744872450955,15,2020-01-15,Egypt,0.0,0.0,0.0,2020.0,January,15
87,2020,January,27.6744872450955,15,2020-01-15,Eritrea,,,0.0,2020.0,January,15
88,2020,January,27.6744872450955,15,2020-01-15,Spain,0.0,0.0,0.0,2020.0,January,15
89,2020,January,27.6744872450955,15,2020-01-15,Estonia,0.0,0.0,0.0,2020.0,January,15
