,CountryName,Date,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,Year,Month,day,Quarter,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
1957,Austria,2020-04-11,13560.0,319.0,85.19,85.19,2020.0,April,11.0,2.0,-45.0,15.0
1958,Austria,2020-04-12,13807.0,337.0,85.19,85.19,2020.0,April,12.0,2.0,-45.0,11.0
1959,Austria,2020-04-13,13937.0,350.0,85.19,85.19,2020.0,April,13.0,2.0,-88.0,31.0
1960,Austria,2020-04-14,14043.0,368.0,81.48,81.48,2020.0,April,14.0,2.0,-53.0,21.0
1961,Austria,2020-04-15,14234.0,384.0,81.48,81.48,2020.0,April,15.0,2.0,-52.0,20.0
1962,Austria,2020-04-16,14370.0,393.0,81.48,81.48,2020.0,April,16.0,2.0,-52.0,20.0
1963,Austria,2020-04-17,14448.0,410.0,81.48,81.48,2020.0,April,17.0,3.0,-52.0,20.0
1964,Austria,2020-04-18,14603.0,431.0,81.48,81.48,2020.0,April,18.0,3.0,-36.0,13.0
1965,Austria,2020-04-19,14662.0,443.0,81.48,81.48,2020.0,April,19.0,3.0,-43.0,12.0
1966,Austria,2020-04-20,14710.0,452.0,81.48,81.48,2020.0,April,20.0,3.0,-48.0,18.0
1967,Austria,2020-04-21,14783.0,462.0,81.48,81.48,2020.0,April,21.0,3.0,-48.0,18.0
1968,Austria,2020-04-22,14833.0,463.0,81.48,81.48,2020.0,April,22.0,3.0,-48.0,18.0
1969,Austria,2020-04-23,14924.0,494.0,78.7,78.7,2020.0,April,23.0,3.0,-48.0,18.0
1970,Austria,2020-04-24,14985.0,508.0,78.7,78.7,2020.0,April,24.0,4.0,-49.0,19.0
1971,Austria,2020-04-25,15068.0,513.0,78.7,78.7,2020.0,April,25.0,4.0,-33.0,12.0
1972,Austria,2020-04-26,15134.0,536.0,78.7,78.7,2020.0,April,26.0,4.0,-34.0,8.0
1973,Austria,2020-04-27,15189.0,542.0,78.7,78.7,2020.0,April,27.0,4.0,-45.0,16.0
1974,Austria,2020-04-28,15256.0,549.0,78.7,78.7,2020.0,April,28.0,4.0,-45.0,15.0
1975,Austria,2020-04-29,15314.0,569.0,78.7,78.7,2020.0,April,29.0,4.0,-46.0,18.0
1976,Austria,2020-04-30,15364.0,580.0,78.7,78.7,2020.0,April,30.0,4.0,-45.0,14.0
1977,Austria,2020-05-01,15424.0,584.0,71.3,71.3,2020.0,May,1.0,1.0,-82.0,26.0
1978,Austria,2020-05-02,15458.0,589.0,68.52,68.52,2020.0,May,2.0,1.0,-24.0,8.0
1979,Austria,2020-05-03,15470.0,596.0,68.52,68.52,2020.0,May,3.0,1.0,-31.0,7.0
1980,Austria,2020-05-04,15538.0,598.0,64.81,64.81,2020.0,May,4.0,1.0,-38.0,12.0
1981,Austria,2020-05-05,15569.0,600.0,64.81,64.81,2020.0,May,5.0,1.0,-39.0,14.0
1982,Austria,2020-05-06,15586.0,606.0,64.81,64.81,2020.0,May,6.0,1.0,-38.0,12.0
1983,Austria,2020-05-07,15651.0,608.0,64.81,64.81,2020.0,May,7.0,1.0,-38.0,12.0
1984,Austria,2020-05-08,15673.0,609.0,64.81,64.81,2020.0,May,8.0,1.0,-39.0,12.0
1985,Austria,2020-05-09,15735.0,614.0,64.81,64.81,2020.0,May,9.0,2.0,-19.0,5.0
1986,Austria,2020-05-10,15777.0,615.0,64.81,64.81,2020.0,May,10.0,2.0,-18.0,3.0
1987,Austria,2020-05-11,15787.0,618.0,59.26,59.26,2020.0,May,11.0,2.0,-36.0,12.0
1988,Austria,2020-05-12,15874.0,620.0,59.26,59.26,2020.0,May,12.0,2.0,-35.0,13.0
1989,Austria,2020-05-13,15910.0,623.0,59.26,59.26,2020.0,May,13.0,2.0,-35.0,13.0
1990,Austria,2020-05-14,15964.0,624.0,59.26,59.26,2020.0,May,14.0,2.0,-36.0,12.0
1991,Austria,2020-05-15,16005.0,626.0,59.26,59.26,2020.0,May,15.0,2.0,-36.0,13.0
1992,Austria,2020-05-16,16068.0,628.0,59.26,59.26,2020.0,May,16.0,2.0,-12.0,5.0
1993,Austria,2020-05-17,16140.0,628.0,59.26,59.26,2020.0,May,17.0,3.0,-13.0,3.0
1994,Austria,2020-05-18,16154.0,629.0,55.56,55.56,2020.0,May,18.0,3.0,-27.0,7.0
1995,Austria,2020-05-19,16179.0,629.0,55.56,55.56,2020.0,May,19.0,3.0,-28.0,8.0
1996,Austria,2020-05-20,16257.0,632.0,55.56,55.56,2020.0,May,20.0,3.0,-28.0,6.0
1997,Austria,2020-05-21,16275.0,633.0,55.56,55.56,2020.0,May,21.0,3.0,-80.0,20.0
1998,Austria,2020-05-22,16332.0,633.0,55.56,55.56,2020.0,May,22.0,3.0,-44.0,10.0
1999,Austria,2020-05-23,16361.0,635.0,55.56,55.56,2020.0,May,23.0,3.0,-13.0,6.0
2000,Austria,2020-05-24,16407.0,639.0,55.56,55.56,2020.0,May,24.0,3.0,-14.0,4.0
2001,Austria,2020-05-25,16439.0,640.0,55.56,55.56,2020.0,May,25.0,4.0,-29.0,9.0
2002,Austria,2020-05-26,16459.0,641.0,55.56,55.56,2020.0,May,26.0,4.0,-27.0,9.0
2003,Austria,2020-05-27,16497.0,643.0,55.56,55.56,2020.0,May,27.0,4.0,-26.0,7.0
2004,Austria,2020-05-28,16515.0,645.0,55.56,55.56,2020.0,May,28.0,4.0,-28.0,9.0
2005,Austria,2020-05-29,16543.0,668.0,50.0,50.0,2020.0,May,29.0,4.0,-28.0,7.0
2006,Austria,2020-05-30,16594.0,668.0,50.0,50.0,2020.0,May,30.0,4.0,-5.0,2.0
2007,Austria,2020-05-31,16638.0,668.0,50.0,50.0,2020.0,May,31.0,4.0,-14.0,4.0
2008,Austria,2020-06-01,16642.0,668.0,50.0,50.0,2020.0,June,1.0,1.0,-79.0,16.0
2009,Austria,2020-06-02,16663.0,668.0,50.0,50.0,2020.0,June,2.0,1.0,-29.0,5.0
2010,Austria,2020-06-03,16674.0,669.0,46.3,46.3,2020.0,June,3.0,1.0,-23.0,5.0
2011,Austria,2020-06-04,16705.0,670.0,43.52,43.52,2020.0,June,4.0,1.0,-23.0,5.0
2012,Austria,2020-06-05,16741.0,670.0,43.52,43.52,2020.0,June,5.0,1.0,-24.0,6.0
2013,Austria,2020-06-06,16803.0,672.0,43.52,43.52,2020.0,June,6.0,1.0,-1.0,0.0
2014,Austria,2020-06-07,16822.0,672.0,43.52,43.52,2020.0,June,7.0,1.0,-5.0,2.0
2015,Austria,2020-06-08,16868.0,672.0,43.52,43.52,2020.0,June,8.0,1.0,-25.0,5.0
2016,Austria,2020-06-09,16889.0,672.0,43.52,43.52,2020.0,June,9.0,2.0,-25.0,6.0
